"Marca temporal","a) De favor, me podría ayudar con que la última persona que cumplió años en su hogar sea quien conteste la encuesta. ","b)	¿Vive usted en esta casa?","c)	¿Cuenta con credencial de lector vigente domiciliaria con esta vivienda?","d)	Me podría decir su edad, de favor ","e)	Anotar sexo sin preguntar","1.	Pensando en cómo se ha sentido en la última semana, ¿qué emoción describe mejor su estado de ánimo?","2.	¿Qué tan seguro está de asistir a votar en las próximas elecciones del 6 de junio?","3.	Si en las próximas elecciones para Presidente Municipal de Tuxtla Gutiérrez los candidatos fueran los siguientes, ¿por quién votaría usted?","4.	Independientemente de por quién ha votado en pasadas elecciones, ¿actualmente con cuál partido se siente usted más identificado? ","5.	¿Cuál es el servicio público que más ha mejorado en su colonia durante los últimos tres años?","6.	¿Cuál es el servicio público que más ha empeorado en su colonia durante los últimos tres años?","7.	En general, ¿usted aprueba o desaprueba la forma en que el presidente Andrés Manuel López Obrador realiza su trabajo?","8.	En general, ¿usted aprueba o desaprueba la forma en que su presidente municipal Carlos Morales realiza su trabajo? ","¿Cuál es su estado civil?","¿Cuál es su último grado de estudios concluido?","¿Cuál es su principal ocupación?","En total y contándose usted, ¿cuántas personas viven en su casa?","Número de equipo","Número del encuestador","Nombre del encuestador","Sección","Manzana","Persona"
"2021/04/15 9:04:31 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","d) 45 a 54 años","b) Mujer","b) Aburrido","b) Todavía no sé si iré a votar","c) Carlos Morales, por MORENA","d) MORENA","j) Ninguno (No leer)","e) Agua potable","d) Desaprueba mucho","c) Desaprueba poco","c) Unión libre","b) Primaria","b) Ama de casa y trabaja","b) 2","3","14","Leo","1738","23","8"
"2021/04/15 9:10:47 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","d) 45 a 54 años","a) Hombre","f) Triste","b) Todavía no sé si iré a votar","i) No sabe / No contesta (No leer)","i) No sabe / No contesta (No leer)","g) Pavimentación de calles","e) Agua potable","a) Aprueba mucho","a) Aprueba mucho","d) Divorciado","c) Secundaria","a) Ama de casa","d) 4","3","12","Erick","1738","24","3"
"2021/04/15 9:11:08 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","b) 25 a 34 años","a) Hombre","h) Estresado","b) Todavía no sé si iré a votar","Un independiente ","a) PAN","c) Alumbrado público","g) Pavimentación de calles","c) Desaprueba poco","b) Aprueba poco","a) Soltero","c) Secundaria","j) Trabaja por su cuenta","f) 6","3","11","Alejandra","1738","24","1"
"2021/04/15 9:11:31 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","b) 25 a 34 años","a) Hombre","h) Estresado","b) Todavía no sé si iré a votar","Un independiente ","a) PAN","c) Alumbrado público","g) Pavimentación de calles","c) Desaprueba poco","b) Aprueba poco","a) Soltero","c) Secundaria","j) Trabaja por su cuenta","f) 6","3","11","Alejandra","1738","24","1"
"2021/04/15 9:12:45 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","d) 45 a 54 años","b) Mujer","c) Tranquilo","c) Estoy seguro que iré a votar","d) Paco Rojas, por Movimiento Ciudadano","d) MORENA","g) Pavimentación de calles","d) Drenaje","a) Aprueba mucho","c) Desaprueba poco","b) Casado","f) Posgrado","i) Empleado en el sector privado","e) 5","3","13","Luis","1738","24","5"
"2021/04/15 9:14:58 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","c) 35 a 44 años","b) Mujer","c) Tranquilo","c) Estoy seguro que iré a votar","b) Willy Ochoa, por PRI, PAN y PRD","d) MORENA","g) Pavimentación de calles","e) Agua potable","a) Aprueba mucho","a) Aprueba mucho","c) Unión libre","c) Secundaria","a) Ama de casa","d) 4","3","15","Carlos","1738","24","6"
"2021/04/15 9:15:20 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","b) 25 a 34 años","a) Hombre","c) Tranquilo","b) Todavía no sé si iré a votar","d) Paco Rojas, por Movimiento Ciudadano","e) Movimiento Ciudadano","g) Pavimentación de calles","b) Recolección de basura","d) Desaprueba mucho","c) Desaprueba poco","a) Soltero","c) Secundaria","i) Empleado en el sector privado","c) 3","3","14","Leo","1738","24","7"
"2021/04/15 9:19:27 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","b) 25 a 34 años","a) Hombre","c) Tranquilo","c) Estoy seguro que iré a votar","a) Jorge Martínez, por el Partido Verde","b) PRI","b) Recolección de basura","f) Seguridad pública","b) Aprueba poco","b) Aprueba poco","b) Casado","b) Primaria","j) Trabaja por su cuenta","c) 3","3","12","Erick","1738","24","4"
"2021/04/15 9:20:29 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","b) 25 a 34 años","b) Mujer","d) Preocupado","c) Estoy seguro que iré a votar","h) Ninguno (No leer)","f) Partido Verde","g) Pavimentación de calles","e) Agua potable","d) Desaprueba mucho","c) Desaprueba poco","a) Soltero","e) Licenciatura","i) Empleado en el sector privado","c) 3","3","14","Leo","1738","24","8"
"2021/04/15 9:20:55 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","e) 55 a 64 años","a) Hombre","d) Preocupado","b) Todavía no sé si iré a votar","d) Paco Rojas, por Movimiento Ciudadano","a) PAN","g) Pavimentación de calles","j) Ninguno (No leer)","d) Desaprueba mucho","b) Aprueba poco","b) Casado","e) Licenciatura","h) Empleado en el sector público","b) 2","3","11","Alejandra","1738","24","2"
"2021/04/15 9:27:18 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","c) 35 a 44 años","b) Mujer","h) Estresado","b) Todavía no sé si iré a votar","Danny Guillen","b) PRI","g) Pavimentación de calles","d) Drenaje","c) Desaprueba poco","d) Desaprueba mucho","b) Casado","c) Secundaria","a) Ama de casa","d) 4","3","11","Alejandra","1738","10","1"
"2021/04/15 9:28:08 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","a) 18 a 24 años","a) Hombre","a) Feliz","b) Todavía no sé si iré a votar","c) Carlos Morales, por MORENA","b) PRI","g) Pavimentación de calles","e) Agua potable","d) Desaprueba mucho","c) Desaprueba poco","b) Casado","b) Primaria","j) Trabaja por su cuenta","h) 8 o más","3","14","Leo","1738","10","7"
"2021/04/15 9:28:49 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","f) 65 años o más","b) Mujer","a) Feliz","c) Estoy seguro que iré a votar","d) Paco Rojas, por Movimiento Ciudadano","d) MORENA","g) Pavimentación de calles","d) Drenaje","b) Aprueba poco","d) Desaprueba mucho","b) Casado","d) Preparatoria","a) Ama de casa","f) 6","3","13","Luis","1738","10","5"
"2021/04/15 9:33:31 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","b) 25 a 34 años","a) Hombre","c) Tranquilo","b) Todavía no sé si iré a votar","c) Carlos Morales, por MORENA","b) PRI","c) Alumbrado público","f) Seguridad pública","b) Aprueba poco","a) Aprueba mucho","a) Soltero","e) Licenciatura","j) Trabaja por su cuenta","c) 3","3","12","Erick","1738","10","3"
"2021/04/15 9:34:31 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","a) 18 a 24 años","a) Hombre","a) Feliz","c) Estoy seguro que iré a votar","c) Carlos Morales, por MORENA","d) MORENA","c) Alumbrado público","e) Agua potable","a) Aprueba mucho","a) Aprueba mucho","a) Soltero","d) Preparatoria","d) Estudiante","d) 4","3","15","Carlos","1738","10","4"
"2021/04/15 9:35:56 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","a) 18 a 24 años","b) Mujer","c) Tranquilo","c) Estoy seguro que iré a votar","c) Carlos Morales, por MORENA","f) Partido Verde","g) Pavimentación de calles","f) Seguridad pública","c) Desaprueba poco","c) Desaprueba poco","c) Unión libre","c) Secundaria","a) Ama de casa","d) 4","3","14","Leo","1738","10","8"
"2021/04/15 9:39:03 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","c) 35 a 44 años","b) Mujer","a) Feliz","b) Todavía no sé si iré a votar","i) No sabe / No contesta (No leer)","h) Ninguno (No leer)","c) Alumbrado público","f) Seguridad pública","c) Desaprueba poco","c) Desaprueba poco","b) Casado","d) Preparatoria","a) Ama de casa","e) 5","3","11","Alejandra","1738","10","2"
"2021/04/15 9:43:29 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","f) 65 años o más","a) Hombre","a) Feliz","c) Estoy seguro que iré a votar","i) No sabe / No contesta (No leer)","f) Partido Verde","b) Recolección de basura","99) No sabe / No contesta (No leer)","a) Aprueba mucho","99) No sabe / No contesta (No leer)","b) Casado","b) Primaria","j) Trabaja por su cuenta","e) 5","3","13","Luis","1738","10","6"
"2021/04/15 9:50:30 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","e) 55 a 64 años","b) Mujer","a) Feliz","b) Todavía no sé si iré a votar","b) Willy Ochoa, por PRI, PAN y PRD","h) Ninguno (No leer)","b) Recolección de basura","d) Drenaje","a) Aprueba mucho","b) Aprueba poco","d) Divorciado","a) No estudió","b) Ama de casa y trabaja","a) 1","3","13","Luis","1738","28","5"
"2021/04/15 9:54:00 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","c) 35 a 44 años","b) Mujer","a) Feliz","c) Estoy seguro que iré a votar","d) Paco Rojas, por Movimiento Ciudadano","h) Ninguno (No leer)","g) Pavimentación de calles","d) Drenaje","a) Aprueba mucho","c) Desaprueba poco","b) Casado","d) Preparatoria","a) Ama de casa","d) 4","3","15","Carlos","1738","28","8"
"2021/04/15 9:54:01 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","f) 65 años o más","a) Hombre","c) Tranquilo","c) Estoy seguro que iré a votar","c) Carlos Morales, por MORENA","d) MORENA","b) Recolección de basura","e) Agua potable","a) Aprueba mucho","b) Aprueba poco","d) Divorciado","a) No estudió","f) Desempleado","a) 1","3","12","Erick","1738","28","3"
"2021/04/15 9:54:07 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","f) 65 años o más","a) Hombre","c) Tranquilo","c) Estoy seguro que iré a votar","i) No sabe / No contesta (No leer)","d) MORENA","b) Recolección de basura","d) Drenaje","a) Aprueba mucho","d) Desaprueba mucho","e) Viudo","c) Secundaria","c) Jubilado","f) 6","3","14","Leo","1738","28","7"
"2021/04/15 9:56:05 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","f) 65 años o más","b) Mujer","a) Feliz","c) Estoy seguro que iré a votar","c) Carlos Morales, por MORENA","d) MORENA","c) Alumbrado público","d) Drenaje","a) Aprueba mucho","a) Aprueba mucho","b) Casado","b) Primaria","a) Ama de casa","h) 8 o más","3","11","Alejandra","1738","28","1"
"2021/04/15 9:57:30 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","c) 35 a 44 años","b) Mujer","a) Feliz","b) Todavía no sé si iré a votar","h) Ninguno (No leer)","d) MORENA","c) Alumbrado público","d) Drenaje","b) Aprueba poco","b) Aprueba poco","a) Soltero","d) Preparatoria","j) Trabaja por su cuenta","c) 3","3","13","Luis","1738","28","6"
"2021/04/15 10:06:10 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","f) 65 años o más","b) Mujer","Mal por salud ","c) Estoy seguro que iré a votar","i) No sabe / No contesta (No leer)","d) MORENA","b) Recolección de basura","d) Drenaje","a) Aprueba mucho","99) No sabe / No contesta (No leer)","e) Viudo","a) No estudió","c) Jubilado","a) 1","3","11","Alejandra","1738","28","2"
"2021/04/15 10:06:13 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","c) 35 a 44 años","b) Mujer","c) Tranquilo","c) Estoy seguro que iré a votar","i) No sabe / No contesta (No leer)","d) MORENA","b) Recolección de basura","e) Agua potable","b) Aprueba poco","b) Aprueba poco","a) Soltero","d) Preparatoria","j) Trabaja por su cuenta","d) 4","3","12","Erick","1738","28","4"
"2021/04/15 10:22:03 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","c) 35 a 44 años","b) Mujer","a) Feliz","b) Todavía no sé si iré a votar","h) Ninguno (No leer)","d) MORENA","c) Alumbrado público","d) Drenaje","b) Aprueba poco","b) Aprueba poco","a) Soltero","d) Preparatoria","j) Trabaja por su cuenta","c) 3","3","13","Luis","1738","28","6"
"2021/04/15 10:24:41 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","e) 55 a 64 años","b) Mujer","c) Tranquilo","c) Estoy seguro que iré a votar","i) No sabe / No contesta (No leer)","d) MORENA","g) Pavimentación de calles","e) Agua potable","b) Aprueba poco","a) Aprueba mucho","b) Casado","c) Secundaria","a) Ama de casa","d) 4","3","12","Erick","1738","3","3"
"2021/04/15 10:25:24 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","c) 35 a 44 años","b) Mujer","a) Feliz","c) Estoy seguro que iré a votar","i) No sabe / No contesta (No leer)","d) MORENA","g) Pavimentación de calles","e) Agua potable","b) Aprueba poco","b) Aprueba poco","c) Unión libre","e) Licenciatura","b) Ama de casa y trabaja","f) 6","3","14","Leo","1738","3","7"
"2021/04/15 10:25:45 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","b) 25 a 34 años","b) Mujer","a) Feliz","a) No iré a votar","h) Ninguno (No leer)","d) MORENA","g) Pavimentación de calles","e) Agua potable","d) Desaprueba mucho","d) Desaprueba mucho","a) Soltero","e) Licenciatura","i) Empleado en el sector privado","f) 6","3","13","Luis","1738","3","5"
"2021/04/15 10:26:28 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","c) 35 a 44 años","b) Mujer","c) Tranquilo","a) No iré a votar","i) No sabe / No contesta (No leer)","h) Ninguno (No leer)","g) Pavimentación de calles","j) Ninguno (No leer)","d) Desaprueba mucho","b) Aprueba poco","a) Soltero","e) Licenciatura","j) Trabaja por su cuenta","d) 4","3","11","Alejandra","1738","3","1"
"2021/04/15 10:30:50 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","f) 65 años o más","b) Mujer","c) Tranquilo","b) Todavía no sé si iré a votar","i) No sabe / No contesta (No leer)","d) MORENA","g) Pavimentación de calles","f) Seguridad pública","b) Aprueba poco","a) Aprueba mucho","e) Viudo","a) No estudió","a) Ama de casa","c) 3","3","12","Erick","1738","3","4"
"2021/04/15 10:31:40 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","b) 25 a 34 años","b) Mujer","a) Feliz","b) Todavía no sé si iré a votar","h) Ninguno (No leer)","h) Ninguno (No leer)","g) Pavimentación de calles","99) No sabe / No contesta (No leer)","b) Aprueba poco","b) Aprueba poco","a) Soltero","b) Primaria","b) Ama de casa y trabaja","d) 4","3","14","Leo","1738","3","8"
"2021/04/15 10:37:26 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","d) 45 a 54 años","b) Mujer","c) Tranquilo","c) Estoy seguro que iré a votar","f) Anulará su voto (No leer)","h) Ninguno (No leer)","g) Pavimentación de calles","e) Agua potable","b) Aprueba poco","c) Desaprueba poco","b) Casado","b) Primaria","b) Ama de casa y trabaja","f) 6","3","13","Luis","1738","3","6"
"2021/04/15 10:41:33 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","b) 25 a 34 años","b) Mujer","c) Tranquilo","b) Todavía no sé si iré a votar","d) Paco Rojas, por Movimiento Ciudadano","f) Partido Verde","g) Pavimentación de calles","e) Agua potable","a) Aprueba mucho","b) Aprueba poco","b) Casado","b) Primaria","j) Trabaja por su cuenta","h) 8 o más","3","11","Alejandra","1738","3","2"
"2021/04/15 10:53:25 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","f) 65 años o más","b) Mujer","a) Feliz","c) Estoy seguro que iré a votar","d) Paco Rojas, por Movimiento Ciudadano","d) MORENA","g) Pavimentación de calles","d) Drenaje","b) Aprueba poco","d) Desaprueba mucho","b) Casado","d) Preparatoria","a) Ama de casa","f) 6","3","13","Luis","1738","10","5"
"2021/04/15 10:55:37 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","b) 25 a 34 años","a) Hombre","g) Entretenido","b) Todavía no sé si iré a votar","c) Carlos Morales, por MORENA","d) MORENA","c) Alumbrado público","d) Drenaje","a) Aprueba mucho","a) Aprueba mucho","a) Soltero","d) Preparatoria","g) Desempleado y busca trabajo","e) 5","3","13","Luis","1738","32","5"
"2021/04/15 10:57:44 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","e) 55 a 64 años","b) Mujer","a) Feliz","a) No iré a votar","h) Ninguno (No leer)","h) Ninguno (No leer)","c) Alumbrado público","e) Agua potable","c) Desaprueba poco","c) Desaprueba poco","b) Casado","b) Primaria","a) Ama de casa","e) 5","3","12","Erick","1738","32","3"
"2021/04/15 10:57:45 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","a) 18 a 24 años","b) Mujer","a) Feliz","c) Estoy seguro que iré a votar","c) Carlos Morales, por MORENA","f) Partido Verde","b) Recolección de basura","e) Agua potable","b) Aprueba poco","b) Aprueba poco","a) Soltero","d) Preparatoria","d) Estudiante","d) 4","3","11","Alejandra","1738","32","1"
"2021/04/15 10:59:29 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","d) 45 a 54 años","a) Hombre","c) Tranquilo","c) Estoy seguro que iré a votar","c) Carlos Morales, por MORENA","d) MORENA","g) Pavimentación de calles","e) Agua potable","b) Aprueba poco","b) Aprueba poco","b) Casado","c) Secundaria","j) Trabaja por su cuenta","d) 4","3","14","Leo","1738","32","7"
"2021/04/15 11:00:41 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","b) 25 a 34 años","b) Mujer","a) Feliz","b) Todavía no sé si iré a votar","c) Carlos Morales, por MORENA","d) MORENA","b) Recolección de basura","e) Agua potable","b) Aprueba poco","b) Aprueba poco","b) Casado","e) Licenciatura","h) Empleado en el sector público","d) 4","3","12","Erick","1738","32","4"
"2021/04/15 11:01:52 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","d) 45 a 54 años","b) Mujer","g) Entretenido","a) No iré a votar","c) Carlos Morales, por MORENA","d) MORENA","c) Alumbrado público","f) Seguridad pública","c) Desaprueba poco","c) Desaprueba poco","a) Soltero","b) Primaria","a) Ama de casa","c) 3","3","13","Luis","1738","32","6"
"2021/04/15 11:02:41 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","b) 25 a 34 años","b) Mujer","a) Feliz","c) Estoy seguro que iré a votar","c) Carlos Morales, por MORENA","d) MORENA","b) Recolección de basura","e) Agua potable","a) Aprueba mucho","a) Aprueba mucho","d) Divorciado","c) Secundaria","a) Ama de casa","f) 6","3","11","Alejandra","1738","32","2"
"2021/04/15 11:03:12 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","e) 55 a 64 años","a) Hombre","d) Preocupado","c) Estoy seguro que iré a votar","h) Ninguno (No leer)","d) MORENA","g) Pavimentación de calles","e) Agua potable","a) Aprueba mucho","c) Desaprueba poco","b) Casado","b) Primaria","k) Campesino","e) 5","3","15","Carlos","1738","32","8"
"2021/04/15 11:11:01 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","c) 35 a 44 años","b) Mujer","c) Tranquilo","a) No iré a votar","g) No votará (No leer)","a) PAN","g) Pavimentación de calles","e) Agua potable","a) Aprueba mucho","b) Aprueba poco","c) Unión libre","b) Primaria","a) Ama de casa","g) 7","3","11","Alejandra","1738","31","1"
"2021/04/15 11:11:27 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","b) 25 a 34 años","b) Mujer","c) Tranquilo","b) Todavía no sé si iré a votar","c) Carlos Morales, por MORENA","i) No sabe / No contesta (No leer)","b) Recolección de basura","e) Agua potable","c) Desaprueba poco","c) Desaprueba poco","b) Casado","c) Secundaria","a) Ama de casa","d) 4","3","14","Leo","1738","31","7"
"2021/04/15 11:12:12 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","e) 55 a 64 años","b) Mujer","a) Feliz","c) Estoy seguro que iré a votar","c) Carlos Morales, por MORENA","d) MORENA","g) Pavimentación de calles","f) Seguridad pública","a) Aprueba mucho","b) Aprueba poco","b) Casado","b) Primaria","a) Ama de casa","g) 7","3","15","Carlos","1738","31","3"
"2021/04/15 11:14:45 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","b) 25 a 34 años","b) Mujer","d) Preocupado","b) Todavía no sé si iré a votar","c) Carlos Morales, por MORENA","d) MORENA","g) Pavimentación de calles","e) Agua potable","a) Aprueba mucho","a) Aprueba mucho","b) Casado","d) Preparatoria","a) Ama de casa","c) 3","3","13","Luis","1738","31","5"
"2021/04/15 11:16:31 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","b) 25 a 34 años","a) Hombre","b) Aburrido","b) Todavía no sé si iré a votar","c) Carlos Morales, por MORENA","d) MORENA","b) Recolección de basura","c) Alumbrado público","a) Aprueba mucho","b) Aprueba poco","a) Soltero","d) Preparatoria","f) Desempleado","f) 6","3","15","Carlos","1738","31","4"
"2021/04/15 11:20:38 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","d) 45 a 54 años","a) Hombre","d) Preocupado","c) Estoy seguro que iré a votar","b) Willy Ochoa, por PRI, PAN y PRD","a) PAN","b) Recolección de basura","e) Agua potable","b) Aprueba poco","b) Aprueba poco","b) Casado","e) Licenciatura","h) Empleado en el sector público","e) 5","3","13","Luis","1738","31","6"
"2021/04/15 11:20:56 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","d) 45 a 54 años","b) Mujer","f) Triste","c) Estoy seguro que iré a votar","g) No votará (No leer)","i) No sabe / No contesta (No leer)","b) Recolección de basura","e) Agua potable","a) Aprueba mucho","a) Aprueba mucho","b) Casado","c) Secundaria","a) Ama de casa","h) 8 o más","3","11","Alejandra","1738","31","2"
"2021/04/15 11:21:11 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","e) 55 a 64 años","b) Mujer","d) Preocupado","b) Todavía no sé si iré a votar","g) No votará (No leer)","i) No sabe / No contesta (No leer)","b) Recolección de basura","h) Centros de salud","a) Aprueba mucho","c) Desaprueba poco","b) Casado","c) Secundaria","b) Ama de casa y trabaja","d) 4","3","14","Leo","1738","31","8"
